Tokenizer name,model_name,eng_Latn,zho_Hans,tur_Latn,pes_Arab,ita_Latn,Column 1
meta-llama-Llama-3.2-1B,Llama-3.2,1.256,1.49,2.381,1.939,1.807,0
google-gemma-2-2b,Gemma-2,1.143,1.276,2.225,1.83,1.539,1
gpt2,GPT-2,1.296,3.536,3.199,4.908,1.989,2
common-pile-comma-v0.1,Comma,1.441,2.451,3.286,4.43,2.053,
microsoft-Phi-3-mini-4k-instruct,Phi-3,1.235,3.441,3.204,4.77,1.637,
tiktoken-gpt-4o,GPT-4o,1.242,1.436,2.33,1.925,1.711,
bigscience-bloom,BLOOM,1.307,1.159,2.707,2.009,1.751,
facebook-xglm-564m,XGLM,1.229,2.192,1.689,1.356,1.364,
mistralai-tekken,Tekken,1.348,1.637,2.444,1.919,1.766,
google-byt5-small,ByT5,4.4,5.001,6.487,7.725,4.78,
google-bert-bert-base-multilingual-cased,mBERT,1.146,1.679,1.993,1.53,1.342,
Qwen-Qwen3-8B,Qwen-3,1.276,1.214,2.582,2.454,1.826,
tokenmonster-englishcode-32000-consistent-v1,TokenMonster,1.751,4.922,4.311,7.744,2.5,
aya-expanse,Aya,1.19,1.229,2.166,1.855,1.611,
