Column 6,model_name,zho_Hans,tur_Latn,pes_Arab,ita_Latn
common-pile-comma-v0.1,Comma,1.942,2.212,4.314,1.869
meta-llama-Llama-3.2-1B,Llama-3.2,1.288,1.39,1.521,1.623
microsoft-Phi-3-mini-4k-instruct,Phi-3,2.029,2.11,4.078,1.481
gpt2,GPT-2,3.211,2.447,5.352,2.017
tiktoken-gpt-4o,GPT-4o,1.266,1.433,1.555,1.469
bigscience-bloom,BLOOM,0.934,1.976,1.803,1.63
facebook-xglm-564m,XGLM,1.148,1.116,1.208,1.236
mistralai-tekken,Tekken,1.433,1.496,1.466,1.4
google-byt5-small,ByT5,0.942,1.12,1.72,1.187
google-bert-bert-base-multilingual-cased,mBERT,1.396,1.372,1.375,1.279
Qwen-Qwen3-8B,Qwen-3,1.017,1.633,2.634,1.64
tokenmonster-englishcode-32000-consistent-v1,TokenMonster,4.993,3.337,9.447,2.304
google-gemma-2-2b,Gemma-2,1.087,1.387,1.452,1.329
aya-expanse,Aya,1.052,1.213,1.484,1.306
